"Saison";"Passage...Année";"Résultat...Code.paramètre";"Lieu.de.surveillance...Libellé";"Mean";"Med";"Qone";"Qthree"
"Autumn";2009;"NO3+NO2";"Antifer";25.348;12.5;11.1;29.1
"Autumn";2009;"NO3+NO2";"At so";6.89;6.89;5.31;8.47
"Autumn";2009;"NO3+NO2";"Cabourg";13.462;15.3;9;15.8
"Autumn";2009;"NO3+NO2";"Digue de Querqueville";8.245;8.245;7.8675;8.6225
"Autumn";2009;"NO3+NO2";"Donville";3.56;3.57;1.795;5.33
"Autumn";2009;"NO3+NO2";"Géfosse";7.702;7.46;6.74;11
"Autumn";2009;"NO3+NO2";"StCast_Hebihens";3.66666666666667;2.7;1.9;4.95
"Autumn";2009;"OXYGENE";"Antifer";7.851;7.615;7.4225;7.795
"Autumn";2009;"OXYGENE";"At so";7.56;7.56;7.555;7.565
"Autumn";2009;"OXYGENE";"Cabourg";7.68444444444444;7.59;7.26;8
"Autumn";2009;"OXYGENE";"Digue de Querqueville";7.25;7.25;6.975;7.525
"Autumn";2009;"OXYGENE";"Donville";7.92;7.92;7.88;7.96
"Autumn";2009;"OXYGENE";"Géfosse";7.86;8.1;7.5;8.1
"Autumn";2009;"OXYGENE";"StCast_Hebihens";7.96666666666667;7.8;7.375;8.045
"Autumn";2009;"PO4";"Antifer";0.838;0.63;0.6;1.27
"Autumn";2009;"PO4";"At so";0.595;0.595;0.5275;0.6625
"Autumn";2009;"PO4";"Cabourg";0.896;0.86;0.71;0.94
"Autumn";2009;"PO4";"Digue de Querqueville";0.555;0.555;0.5525;0.5575
"Autumn";2009;"PO4";"Donville";0.296666666666667;0.32;0.185;0.42
"Autumn";2009;"PO4";"Géfosse";0.556;0.51;0.41;0.68
"Autumn";2009;"PO4";"StCast_Hebihens";0.376666666666667;0.36;0.29;0.455
"Autumn";2009;"SALI";"Antifer";32.671;33.405;32.335;33.9475
"Autumn";2009;"SALI";"At so";33.85;33.85;33.825;33.875
"Autumn";2009;"SALI";"Cabourg";33.1188888888889;32.98;32.92;33.37
"Autumn";2009;"SALI";"Digue de Querqueville";34.56;34.56;34.56;34.56
"Autumn";2009;"SALI";"Donville";35.115;35.115;35.0425;35.1875
"Autumn";2009;"SALI";"Géfosse";33.362;33.33;33.22;33.38
"Autumn";2009;"SALI";"StCast_Hebihens";35.0833333333333;35.1;35.1;35.1
"Autumn";2009;"SIOH";"Antifer";16.474;8.68;5.87;20.1
"Autumn";2009;"SIOH";"At so";3.73;3.73;2.895;4.565
"Autumn";2009;"SIOH";"Cabourg";18.284;18.3;16.6;20.3
"Autumn";2009;"SIOH";"Digue de Querqueville";8.765;8.765;8.3625;9.1675
"Autumn";2009;"SIOH";"Donville";5.68333333333333;6.69;4.86;7.01
"Autumn";2009;"SIOH";"Géfosse";11.038;11.5;7.65;14.1
"Autumn";2009;"SIOH";"StCast_Hebihens";6.33333333333333;5.4;4.65;7.55
"Autumn";2009;"TEMP";"Antifer";16.798;17.4;15.74;17.925
"Autumn";2009;"TEMP";"At so";15.75;15.75;14.675;16.825
"Autumn";2009;"TEMP";"Cabourg";16.4088888888889;17.24;14.9;17.76
"Autumn";2009;"TEMP";"Digue de Querqueville";16.46;16.46;15.945;16.975
"Autumn";2009;"TEMP";"Donville";15.935;15.935;14.6725;17.1975
"Autumn";2009;"TEMP";"Géfosse";16.514;17.13;15.12;17.92
"Autumn";2009;"TEMP";"StCast_Hebihens";15.7666666666667;16.25;14.05;17.475
"Autumn";2009;"TURB";"Antifer";3.339;2.41;2.05;4.3
"Autumn";2009;"TURB";"At so";5.38;5.38;4.785;5.975
"Autumn";2009;"TURB";"Cabourg";3.37111111111111;3.33;2.9;3.8
"Autumn";2009;"TURB";"Digue de Querqueville";2.35;2.35;2.325;2.375
"Autumn";2009;"TURB";"Donville";1.47;1.4;1.205;1.7
"Autumn";2009;"TURB";"Géfosse";2.808;2.7;1.62;3.72
"Autumn";2009;"TURB";"StCast_Hebihens";2.1;1.1;0.925;2.925
"Autumn";2010;"NH4";"Antifer";2.898;3.04;1.86;4.06
"Autumn";2010;"NH4";"At so";2.62166666666667;1.475;1.3125;3.3575
"Autumn";2010;"NH4";"Cabourg";5.792;6.86;6.64;7.35
"Autumn";2010;"NH4";"Digue de Querqueville";1.22666666666667;1.23;1.135;1.32
"Autumn";2010;"NH4";"Donville";1.32166666666667;0.6;0.3025;1.98
"Autumn";2010;"NH4";"Géfosse";2.9075;3.105;1.52;4.4925
"Autumn";2010;"NH4";"StCast_Hebihens";0.363333333333333;0.45;0.23;0.54
"Autumn";2010;"NO3+NO2";"Antifer";19.326;20.8;13.1;21.5
"Autumn";2010;"NO3+NO2";"At so";7.87833333333333;1.42;0.945;11.5825
"Autumn";2010;"NO3+NO2";"Cabourg";13.126;7.37;7.11;21.8
"Autumn";2010;"NO3+NO2";"Digue de Querqueville";10.11;7.87;6.265;12.835
"Autumn";2010;"NO3+NO2";"Donville";7.48666666666667;5.38;2.73;11.19
"Autumn";2010;"NO3+NO2";"Géfosse";15.9625;7.69;2.6525;21
"Autumn";2010;"NO3+NO2";"StCast_Hebihens";4.14333333333333;3.7;2.015;6.05
"Autumn";2010;"OXYGENE";"Antifer";9.21666666666667;7.8;7.7;10.2775
"Autumn";2010;"OXYGENE";"At so";7.985;8.01;7.6525;8.195
"Autumn";2010;"OXYGENE";"Cabourg";7.28571428571429;7.5;6.65;7.85
"Autumn";2010;"OXYGENE";"Digue de Querqueville";7.66666666666667;7.7;7.5;7.85
"Autumn";2010;"OXYGENE";"Donville";7.73333333333333;7.5;7.5;7.85
"Autumn";2010;"OXYGENE";"Géfosse";7.73333333333333;7.9;7.45;8.1
"Autumn";2010;"OXYGENE";"StCast_Hebihens";7.77571428571429;7.76;7.6;7.825
"Autumn";2010;"PO4";"Antifer";0.764;0.87;0.55;0.91
"Autumn";2010;"PO4";"At so";0.503333333333333;0.24;0.21;0.665
"Autumn";2010;"PO4";"Cabourg";0.938;0.94;0.76;1.17
"Autumn";2010;"PO4";"Digue de Querqueville";0.526666666666667;0.55;0.475;0.59
"Autumn";2010;"PO4";"Donville";0.413333333333333;0.4;0.24;0.58
"Autumn";2010;"PO4";"Géfosse";0.695;0.7;0.4325;0.9625
"Autumn";2010;"PO4";"StCast_Hebihens";0.35;0.37;0.265;0.445
"Autumn";2010;"SALI";"Antifer";32.8966666666667;33.25;32.7475;33.4
"Autumn";2010;"SALI";"At so";34.3166666666667;34.55;34.125;34.675
"Autumn";2010;"SALI";"Cabourg";32.7142857142857;32.8;32.5;33
"Autumn";2010;"SALI";"Digue de Querqueville";34.4333333333333;34.6;34.3;34.65
"Autumn";2010;"SALI";"Donville";34.8666666666667;35.2;34.7;35.2
"Autumn";2010;"SALI";"Géfosse";33.425;33.45;33.1;33.775
"Autumn";2010;"SALI";"StCast_Hebihens";34.8571428571429;34.9;34.8;35.05
"Autumn";2010;"SIOH";"Antifer";16.04;16.2;10.4;21.1
"Autumn";2010;"SIOH";"At so";8.84166666666667;3.98;2.545;12.7075
"Autumn";2010;"SIOH";"Cabourg";25.64;24.7;21.3;29.8
"Autumn";2010;"SIOH";"Digue de Querqueville";9.06333333333333;7.77;7.695;9.785
"Autumn";2010;"SIOH";"Donville";9.57333333333333;5.76;5.61;11.63
"Autumn";2010;"SIOH";"Géfosse";21.3;18.55;14.125;25.725
"Autumn";2010;"SIOH";"StCast_Hebihens";4.76666666666667;4.7;3.9;5.6
"Autumn";2010;"TEMP";"Antifer";16.0983333333333;16.725;15.3875;17.305
"Autumn";2010;"TEMP";"At so";15.7333333333333;16.7;15.65;17.45
"Autumn";2010;"TEMP";"Cabourg";15.1;16.5;12.5;17.25
"Autumn";2010;"TEMP";"Digue de Querqueville";15.7;16.1;14.7;16.9
"Autumn";2010;"TEMP";"Donville";15.5666666666667;15.9;13.9;17.4
"Autumn";2010;"TEMP";"Géfosse";15.8;18;14.5;18.2
"Autumn";2010;"TEMP";"StCast_Hebihens";15.0142857142857;15.1;13.95;16.8
"Autumn";2010;"TURB";"Antifer";2.125;1.5;1.3;2.9
"Autumn";2010;"TURB";"At so";6.90666666666667;3.425;2.79;7.075
"Autumn";2010;"TURB";"Cabourg";3.54285714285714;3.3;2.85;3.75
"Autumn";2010;"TURB";"Digue de Querqueville";2.76666666666667;2.8;2.2;3.35
"Autumn";2010;"TURB";"Donville";2.55333333333333;1.1;0.88;3.5
"Autumn";2010;"TURB";"Géfosse";3.925;2.2;2;4.125
"Autumn";2010;"TURB";"StCast_Hebihens";1.35714285714286;1.3;1.05;1.7
"Autumn";2011;"NH4";"Antifer";2.4875;2.53;1.7225;3.295
"Autumn";2011;"NH4";"At so";4.48333333333333;4.03;3.99;4.75
"Autumn";2011;"NH4";"Cabourg";5.00333333333333;5.42;2.36;7.1
"Autumn";2011;"NH4";"Digue de Querqueville";0.61;0.41;0.39;0.73
"Autumn";2011;"NH4";"Donville";0.597666666666667;0.52;0.51;0.6465
"Autumn";2011;"NH4";"Géfosse";1.234;1.56;0.3;2.05
"Autumn";2011;"NH4";"StCast_Hebihens";0.78;0.72;0.65;0.88
"Autumn";2011;"NO3+NO2";"Antifer";22.125;19.35;17.625;23.85
"Autumn";2011;"NO3+NO2";"At so";11.3333333333333;9.7;7.95;13.9
"Autumn";2011;"NO3+NO2";"Cabourg";9.08833333333333;10.77;2.9475;13.875
"Autumn";2011;"NO3+NO2";"Digue de Querqueville";5.93333333333333;5.79;5.03;6.765
"Autumn";2011;"NO3+NO2";"Donville";6.32;6.14;3.88;8.67
"Autumn";2011;"NO3+NO2";"Géfosse";4.086;2.08;0.6;5.45
"Autumn";2011;"NO3+NO2";"StCast_Hebihens";4.13333333333333;3.6;3.5;4.5
"Autumn";2011;"OXYGENE";"Antifer";8.16666666666667;8.3;8;8.375
"Autumn";2011;"OXYGENE";"At so";8.10666666666667;8.24;8.01;8.27
"Autumn";2011;"OXYGENE";"Cabourg";7.55;7.65;7.3;7.725
"Autumn";2011;"OXYGENE";"Digue de Querqueville";7.96666666666667;8.1;7.85;8.15
"Autumn";2011;"OXYGENE";"Donville";7.7;7.7;7.65;7.75
"Autumn";2011;"OXYGENE";"Géfosse";7.74;7.4;7.4;8
"Autumn";2011;"OXYGENE";"StCast_Hebihens";7.66;7.575;7.485;7.7625
"Autumn";2011;"PO4";"Antifer";0.92;0.9;0.7375;1.0825
"Autumn";2011;"PO4";"At so";0.466666666666667;0.4;0.39;0.51
"Autumn";2011;"PO4";"Cabourg";0.73;0.735;0.4675;1.0025
"Autumn";2011;"PO4";"Digue de Querqueville";0.41;0.41;0.38;0.44
"Autumn";2011;"PO4";"Donville";0.453333333333333;0.45;0.355;0.55
"Autumn";2011;"PO4";"Géfosse";0.406;0.46;0.1;0.57
"Autumn";2011;"PO4";"StCast_Hebihens";0.313333333333333;0.36;0.26;0.39
"Autumn";2011;"SALI";"Antifer";32.5166666666667;32.5;32.05;32.875
"Autumn";2011;"SALI";"At so";34;34.1;33.85;34.2
"Autumn";2011;"SALI";"Cabourg";32.925;33.25;32.8;33.475
"Autumn";2011;"SALI";"Digue de Querqueville";35.2666666666667;35.2;35.1;35.4
"Autumn";2011;"SALI";"Donville";35.6666666666667;35.8;35.6;35.8
"Autumn";2011;"SALI";"Géfosse";33.98;33.8;33.8;34
"Autumn";2011;"SALI";"StCast_Hebihens";35.1833333333333;35.2;35.125;35.275
"Autumn";2011;"SIOH";"Antifer";16.99;16.55;12.515;21.025
"Autumn";2011;"SIOH";"At so";14.4;14.2;13.45;15.25
"Autumn";2011;"SIOH";"Cabourg";19.3533333333333;21.4;14.3;24.075
"Autumn";2011;"SIOH";"Digue de Querqueville";5.57666666666667;5.29;5.25;5.76
"Autumn";2011;"SIOH";"Donville";8.41666666666667;8.55;6.975;9.925
"Autumn";2011;"SIOH";"Géfosse";8.896;9.09;3.6;13.1
"Autumn";2011;"SIOH";"StCast_Hebihens";5.03333333333333;5.7;4.55;5.85
"Autumn";2011;"TEMP";"Antifer";16.9833333333333;17.65;16.125;18.275
"Autumn";2011;"TEMP";"At so";15.4;15.4;14.35;16.45
"Autumn";2011;"TEMP";"Cabourg";16.3375;16.7;15.45;17.375
"Autumn";2011;"TEMP";"Digue de Querqueville";15.5333333333333;15.4;14.9;16.1
"Autumn";2011;"TEMP";"Donville";15.5;16;14.7;16.55
"Autumn";2011;"TEMP";"Géfosse";15.86;16.5;14.4;17.1
"Autumn";2011;"TEMP";"StCast_Hebihens";15.825;15.93;14.5175;17.185
"Autumn";2011;"TURB";"Antifer";3.31;1.55;1.325;5.675
"Autumn";2011;"TURB";"At so";9.75;9.75;8.425;11.075
"Autumn";2011;"TURB";"Cabourg";3;1.8;1.2;3.9
"Autumn";2011;"TURB";"Digue de Querqueville";1.56666666666667;1.4;1.4;1.65
"Autumn";2011;"TURB";"Donville";1.53333333333333;1.1;1.05;1.8
"Autumn";2011;"TURB";"Géfosse";1.268;1.4;0.84;1.5
"Autumn";2011;"TURB";"StCast_Hebihens";1.41666666666667;1.25;0.825;1.3
"Autumn";2012;"NH4";"Antifer";3.246;3.98;2.56;4.1
"Autumn";2012;"NH4";"At so";1.29;1.29;1.07;1.51
"Autumn";2012;"NH4";"Cabourg";5.18333333333333;5.13;3.97;5.66
"Autumn";2012;"NH4";"Digue de Querqueville";0.843333333333333;0.96;0.685;1.06
"Autumn";2012;"NH4";"Donville";1.41333333333333;0.91;0.505;2.07
"Autumn";2012;"NH4";"Géfosse";2.28;2.47;1.52;2.5
"Autumn";2012;"NH4";"StCast_Hebihens";0.363333333333333;0.2;0.185;0.46
"Autumn";2012;"NO3+NO2";"Antifer";17.448;13.7;8.84;19.4
"Autumn";2012;"NO3+NO2";"At so";9.85;9.85;5.575;14.125
"Autumn";2012;"NO3+NO2";"Cabourg";29.0061111111111;19.1;8.185;33.3
"Autumn";2012;"NO3+NO2";"Digue de Querqueville";7.13566666666667;8.2;4.5535;10.25
"Autumn";2012;"NO3+NO2";"Donville";9.55333333333333;4.86;2.73;14.03
"Autumn";2012;"NO3+NO2";"Géfosse";11.396;8.74;4.21;11.2
"Autumn";2012;"NO3+NO2";"StCast_Hebihens";2.23333333333333;1;0.75;3.1
"Autumn";2012;"OXYGENE";"Antifer";7.23333333333333;7.3;7.15;7.35
"Autumn";2012;"OXYGENE";"At so";8.645;8.645;8.3725;8.9175
"Autumn";2012;"OXYGENE";"Cabourg";8.1625;8.05;7.95;8.4
"Autumn";2012;"OXYGENE";"Digue de Querqueville";7.86333333333333;7.8;7.745;7.95
"Autumn";2012;"OXYGENE";"Donville";8.23333333333333;8.2;8.15;8.3
"Autumn";2012;"OXYGENE";"Géfosse";7.75;7.45;7.4;8
"Autumn";2012;"OXYGENE";"StCast_Hebihens";7.67857142857143;7.68;7.52;7.845
"Autumn";2012;"PO4";"Antifer";0.854;0.92;0.53;1.03
"Autumn";2012;"PO4";"At so";0.445;0.445;0.3175;0.5725
"Autumn";2012;"PO4";"Cabourg";0.937222222222222;0.875;0.81;1.03
"Autumn";2012;"PO4";"Digue de Querqueville";0.463333333333333;0.56;0.375;0.6
"Autumn";2012;"PO4";"Donville";0.456666666666667;0.47;0.32;0.6
"Autumn";2012;"PO4";"Géfosse";0.644;0.66;0.5;0.67
"Autumn";2012;"PO4";"StCast_Hebihens";0.31;0.24;0.225;0.36
"Autumn";2012;"SALI";"Antifer";33.0275;32.9;32.525;33.4025
"Autumn";2012;"SALI";"At so";34.05;34.05;34.025;34.075
"Autumn";2012;"SALI";"Cabourg";32.3;32.6;32.01;32.9
"Autumn";2012;"SALI";"Digue de Querqueville";34.8533333333333;34.78;34.64;35.03
"Autumn";2012;"SALI";"Donville";35.0633333333333;35.29;34.795;35.445
"Autumn";2012;"SALI";"Géfosse";32.926;33.9;33.71;34.3
"Autumn";2012;"SALI";"StCast_Hebihens";34.8628571428571;34.98;34.72;35.06
"Autumn";2012;"SIOH";"Antifer";19.136;19.2;12.7;22.7
"Autumn";2012;"SIOH";"At so";8.99;8.99;6.035;11.945
"Autumn";2012;"SIOH";"Cabourg";27.9833333333333;28.3;25.1;30.4
"Autumn";2012;"SIOH";"Digue de Querqueville";7.77333333333333;7.39;6.945;8.41
"Autumn";2012;"SIOH";"Donville";10.1433333333333;6;5.315;12.9
"Autumn";2012;"SIOH";"Géfosse";19.16;16.2;15.4;16.5
"Autumn";2012;"SIOH";"StCast_Hebihens";3.76666666666667;3.7;2.85;4.65
"Autumn";2012;"TEMP";"Antifer";16.975;17.15;16.1;18.025
"Autumn";2012;"TEMP";"At so";13.45;13.45;11.575;15.325
"Autumn";2012;"TEMP";"Cabourg";14.97125;15.5;12.85;17.425
"Autumn";2012;"TEMP";"Digue de Querqueville";15.3633333333333;15.39;13.895;16.845
"Autumn";2012;"TEMP";"Donville";15.1;15.5;13.4;17
"Autumn";2012;"TEMP";"Géfosse";15.496;16.2;15.08;17.5
"Autumn";2012;"TEMP";"StCast_Hebihens";16.1342857142857;16.67;14.475;17.755
"Autumn";2012;"TURB";"Antifer";3.968;3.8;3.4;4.5
"Autumn";2012;"TURB";"At so";6.475;6.475;5.8675;7.0825
"Autumn";2012;"TURB";"Cabourg";6.88125;6.2;4.0375;10.15
"Autumn";2012;"TURB";"Digue de Querqueville";1.90666666666667;2.2;1.66;2.3
"Autumn";2012;"TURB";"Donville";1.16;1.1;0.84;1.45
"Autumn";2012;"TURB";"Géfosse";2.236;1.5;1.1;2.8
"Autumn";2012;"TURB";"StCast_Hebihens";0.842857142857143;0.9;0.7;0.95
"Autumn";2013;"NH4";"Antifer";2.872;2.51;2.26;3.63
"Autumn";2013;"NH4";"At so";2.87;3.82;2.135;4.08
"Autumn";2013;"NH4";"Cabourg";5.0084;6.42;3.32;6.78
"Autumn";2013;"NH4";"Digue de Querqueville";0.713333333333333;0.78;0.54;0.92
"Autumn";2013;"NH4";"Donville";0.636666666666667;0.54;0.32;0.905
"Autumn";2013;"NH4";"Géfosse";2.1876;2.66;1.76;3.03
"Autumn";2013;"NH4";"StCast_Hebihens";0.566666666666667;0.33;0.27;0.745
"Autumn";2013;"NO3+NO2";"Antifer";29.56;33.4;16.2;42.6
"Autumn";2013;"NO3+NO2";"At so";15.0166666666667;11.9;6.025;22.45
"Autumn";2013;"NO3+NO2";"Cabourg";25.22;15.8;14.7;20.9
"Autumn";2013;"NO3+NO2";"Digue de Querqueville";7.64;5.93;5.41;9.015
"Autumn";2013;"NO3+NO2";"Donville";4.28933333333333;4.11;2.259;6.23
"Autumn";2013;"NO3+NO2";"Géfosse";8.883;7.95;2.42;13.6
"Autumn";2013;"NO3+NO2";"StCast_Hebihens";2.03333333333333;1;0.75;2.8
"Autumn";2013;"OXYGENE";"Antifer";8.075;7.95;7.8;8.225
"Autumn";2013;"OXYGENE";"At so";8.03666666666667;7.96;7.675;8.36
"Autumn";2013;"OXYGENE";"Cabourg";7.85714285714286;7.5;7.35;8.1
"Autumn";2013;"OXYGENE";"Digue de Querqueville";7.96666666666667;7.6;7.6;8.15
"Autumn";2013;"OXYGENE";"Donville";7.8;7.8;7.55;8.05
"Autumn";2013;"OXYGENE";"Géfosse";7.76;7.7;7.5;8.1
"Autumn";2013;"OXYGENE";"StCast_Hebihens";7.80833333333333;7.895;7.56;8.0125
"Autumn";2013;"PO4";"Antifer";0.8706;1.16;0.53;1.18
"Autumn";2013;"PO4";"At so";0.386666666666667;0.31;0.18;0.555
"Autumn";2013;"PO4";"Cabourg";0.844;0.85;0.72;0.97
"Autumn";2013;"PO4";"Digue de Querqueville";0.373333333333333;0.34;0.31;0.42
"Autumn";2013;"PO4";"Donville";0.327;0.35;0.2405;0.425
"Autumn";2013;"PO4";"Géfosse";0.463;0.5;0.33;0.7
"Autumn";2013;"PO4";"StCast_Hebihens";0.27;0.23;0.2;0.32
"Autumn";2013;"SALI";"Antifer";31.58;31.5;30.4;33
"Autumn";2013;"SALI";"At so";33.0333333333333;33.4;32.75;33.5
"Autumn";2013;"SALI";"Cabourg";32.1857142857143;32.2;31.1;32.7
"Autumn";2013;"SALI";"Digue de Querqueville";33.2666666666667;32.8;32.65;33.65
"Autumn";2013;"SALI";"Donville";34.8666666666667;34.8;34.6;35.1
"Autumn";2013;"SALI";"Géfosse";33.66;33.9;33.4;34
"Autumn";2013;"SALI";"StCast_Hebihens";34.9771428571429;35.02;34.9;35.075
"Autumn";2013;"SIOH";"Antifer";20.926;25.1;14.2;28.5
"Autumn";2013;"SIOH";"At so";17.48;10.8;5.72;25.9
"Autumn";2013;"SIOH";"Cabourg";22.32;22;21.6;24
"Autumn";2013;"SIOH";"Digue de Querqueville";5.88333333333333;5.76;5.63;6.075
"Autumn";2013;"SIOH";"Donville";5.37666666666667;5.25;4.595;6.095
"Autumn";2013;"SIOH";"Géfosse";11.156;12.6;9.3;15
"Autumn";2013;"SIOH";"StCast_Hebihens";2.40666666666667;2.7;1.81;3.15
"Autumn";2013;"TEMP";"Antifer";16.3525;16.43;15.05;17.7325
"Autumn";2013;"TEMP";"At so";15.9666666666667;17.2;14.3;18.25
"Autumn";2013;"TEMP";"Cabourg";16.6142857142857;17.35;16.41;17.705
"Autumn";2013;"TEMP";"Digue de Querqueville";15.6066666666667;17.03;14.565;17.36
"Autumn";2013;"TEMP";"Donville";16.3466666666667;17.69;15.38;17.985
"Autumn";2013;"TEMP";"Géfosse";16.262;16.76;15.7;17.38
"Autumn";2013;"TEMP";"StCast_Hebihens";15.8257142857143;16.3;14.85;17.82
"Autumn";2013;"TURB";"Antifer";5.7;3.3;3.1;3.6
"Autumn";2013;"TURB";"At so";8.20666666666667;6.43;4.76;10.765
"Autumn";2013;"TURB";"Cabourg";4.12857142857143;3.8;2.25;5.95
"Autumn";2013;"TURB";"Digue de Querqueville";1.86666666666667;2;1.65;2.15
"Autumn";2013;"TURB";"Donville";1.05333333333333;1;0.78;1.3
"Autumn";2013;"TURB";"Géfosse";2.174;1.5;1.4;2.8
"Autumn";2013;"TURB";"StCast_Hebihens";2.27142857142857;1.9;1.45;2.55
"Autumn";2014;"NH4";"Antifer";1.998;2.19;1.76;2.31
"Autumn";2014;"NH4";"At so";2.14;2.14;1.815;2.465
"Autumn";2014;"NH4";"Cabourg";3.594;4.61;2.67;4.67
"Autumn";2014;"NH4";"Digue de Querqueville";1.24;1.2;1.105;1.355
"Autumn";2014;"NH4";"Donville";1.54666666666667;0.11;0.105;2.27
"Autumn";2014;"NH4";"Géfosse";0.806666666666667;0.565;0.485;0.9075
"Autumn";2014;"NH4";"StCast_Hebihens";0.466666666666667;0.47;0.295;0.64
"Autumn";2014;"NO3+NO2";"Antifer";23.42;15.4;12.4;26.6
